date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:05	5949/5949	---M-Z	200	added ('OK')	text/css	etag:W/%22173d-04zMQM6pb4nvNiajcVznwjNL8GU%22	https://cdn.jsdelivr.net/npm/@splidejs/splide@3.6.12/dist/css/splide.min.css	C:/Users/julia/OneDrive/Desktop/Project%20Arip/cdn.jsdelivr.net/npm/@splidejs/splide@3.6.12/dist/css/splide.min.css	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:05	2235/2235	---M-Z	200	added ('OK')	text/css	etag:W/%228bb-HyuCBeY0TaRrMJ+2bpmFgif3/4g%22	https://cdn.jsdelivr.net/npm/@splidejs/splide@3.6.12/dist/css/splide-core.min.css	C:/Users/julia/OneDrive/Desktop/Project%20Arip/cdn.jsdelivr.net/npm/@splidejs/splide@3.6.12/dist/css/splide-core.min.css	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:06	92365/92365	---M--	200	added ('OK')	image/jpeg	etag:%22168cd-60cfa61901551%22	https://indoinvite.com/nikah/template/bee-classic/EB%201.jpg	C:/Users/julia/OneDrive/Desktop/Project%20Arip/indoinvite.com/nikah/template/bee-classic/EB%201.jpg	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:06	26629/26629	---M--	200	added ('OK')	image/jpeg	etag:%223a49c5f4df9634eee6b97a2a7a935dee%22	https://sin1.contabostorage.com/2db3bf1e16cd47a08843bb881e39cce7:indoinvite-staging/indoinvite-staging/indoinvite-staging/nikah/template/beautiful-white/patern.jpg	C:/Users/julia/OneDrive/Desktop/Project%20Arip/sin1.contabostorage.com/2db3bf1e16cd47a08843bb881e39cce7_indoinvite-staging/indoinvite-staging/indoinvite-staging/nikah/template/beautiful-white/patern.jpg	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:07	309759/309759	---M--	200	added ('OK')	image/jpeg	etag:%220278bff5a110d5c6760b871cc7b85ba2%22	https://sin1.contabostorage.com/2db3bf1e16cd47a08843bb881e39cce7:indoinvite-staging/indoinvite-staging/indoinvite-staging/nikah/upload/1952/1677249007foto_berdua.jpeg	C:/Users/julia/OneDrive/Desktop/Project%20Arip/sin1.contabostorage.com/2db3bf1e16cd47a08843bb881e39cce7_indoinvite-staging/indoinvite-staging/indoinvite-staging/nikah/upload/1952/1677249007foto_berdua.jpg	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:07	309759/309759	---M--	200	added ('OK')	image/jpeg	etag:%220278bff5a110d5c6760b871cc7b85ba2%22	https://sin1.contabostorage.com/2db3bf1e16cd47a08843bb881e39cce7:indoinvite-staging/indoinvite-staging/indoinvite-staging/nikah/upload/galery/1677249254.jpeg	C:/Users/julia/OneDrive/Desktop/Project%20Arip/sin1.contabostorage.com/2db3bf1e16cd47a08843bb881e39cce7_indoinvite-staging/indoinvite-staging/indoinvite-staging/nikah/upload/galery/1677249254.jpg	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:07	22436/22436	---M--	200	added ('OK')	image/png	etag:%2257a4-60cfa618e30f3%22	https://indoinvite.com/nikah/liputan6.png	C:/Users/julia/OneDrive/Desktop/Project%20Arip/indoinvite.com/nikah/liputan6.png	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:08	128896/128896	---M--	200	added ('OK')	image/gif	etag:%221f780-5fc0c748b1993%22	https://indoinvite.com/nikah/loading_new.gif	C:/Users/julia/OneDrive/Desktop/Project%20Arip/indoinvite.com/nikah/loading_new.gif	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:08	7287/7287	---M--	200	added ('OK')	image/png	etag:%221c77-60cfa618e7f12%22	https://indoinvite.com/nikah/merdeka.png	C:/Users/julia/OneDrive/Desktop/Project%20Arip/indoinvite.com/nikah/merdeka.png	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:08	12788/12788	---M--	200	added ('OK')	image/png	etag:%2231f4-60cfa618e30f3%22	https://indoinvite.com/nikah/kontan.png	C:/Users/julia/OneDrive/Desktop/Project%20Arip/indoinvite.com/nikah/kontan.png	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
